,Ticker,Attribute,Recent
100,ADM,Enterprise Value 3,44.76B
101,ADM,Trailing P/E,15.01
102,ADM,Forward P/E 1,13.44
103,ADM,PEG Ratio (5 yr expected) 1,1.31
104,ADM,Price/Sales (ttm),0.46
105,ADM,Price/Book (mrq),1.59
106,ADM,Enterprise Value/Revenue 3,0.60
107,ADM,Enterprise Value/EBITDA 7,12.32
108,ADP,Market Cap (intraday) 5,86.13B
109,ADP,Enterprise Value 3,87.08B
110,ADP,Trailing P/E,33.57
111,ADP,Forward P/E 1,27.91
112,ADP,PEG Ratio (5 yr expected) 1,2.97
113,ADP,Price/Sales (ttm),5.74
114,ADP,Price/Book (mrq),15.22
115,ADP,Enterprise Value/Revenue 3,5.80
116,ADP,Enterprise Value/EBITDA 7,22.52
117,ADSK,Market Cap (intraday) 5,60.72B
118,ADSK,Enterprise Value 3,61.83B
119,ADSK,Trailing P/E,46.67
120,ADSK,Forward P/E 1,39.74
121,ADSK,PEG Ratio (5 yr expected) 1,2.17
122,ADSK,Price/Sales (ttm),15.03
123,ADSK,Price/Book (mrq),45.74
124,ADSK,Enterprise Value/Revenue 3,15.30
125,ADSK,Enterprise Value/EBITDA 7,81.20
126,AEE,Market Cap (intraday) 5,20.98B
127,AEE,Enterprise Value 3,33.95B
128,AEE,Trailing P/E,22.37
129,AEE,Forward P/E 1,20.18
130,AEE,PEG Ratio (5 yr expected) 1,3.06
131,AEE,Price/Sales (ttm),3.66
132,AEE,Price/Book (mrq),2.24
133,AEE,Enterprise Value/Revenue 3,5.92
134,AEE,Enterprise Value/EBITDA 7,13.38
135,AEP,Market Cap (intraday) 5,41.58B
136,AEP,Enterprise Value 3,78.3B
137,AEP,Trailing P/E,17.72
138,AEP,Forward P/E 1,16.72
139,AEP,PEG Ratio (5 yr expected) 1,3.22
140,AEP,Price/Sales (ttm),2.63
141,AEP,Price/Book (mrq),1.94
142,AEP,Enterprise Value/Revenue 3,4.96
143,AEP,Enterprise Value/EBITDA 7,13.33
144,AES,Market Cap (intraday) 5,15.41B
145,AES,Enterprise Value 3,40.29B
146,AES,Trailing P/E,
147,AES,Forward P/E 1,13.84
148,AES,PEG Ratio (5 yr expected) 1,1.95
149,AES,Price/Sales (ttm),1.48
150,AES,Price/Book (mrq),6.93
151,AES,Enterprise Value/Revenue 3,3.86
152,AES,Enterprise Value/EBITDA 7,10.72
153,AFL,Market Cap (intraday) 5,35.31B
154,AFL,Enterprise Value 3,39.96B
155,AFL,Trailing P/E,6.33
156,AFL,Forward P/E 1,10.12
157,AFL,PEG Ratio (5 yr expected) 1,1.64
158,AFL,Price/Sales (ttm),1.53
159,AFL,Price/Book (mrq),1.05
160,AFL,Enterprise Value/Revenue 3,1.74
161,AFL,Enterprise Value/EBITDA 7,7.09
162,AIG,Market Cap (intraday) 5,48.44B
163,AIG,Enterprise Value 3,68.3B
164,AIG,Trailing P/E,11.82
165,AIG,Forward P/E 1,10.53
166,AIG,PEG Ratio (5 yr expected) 1,0.36
167,AIG,Price/Sales (ttm),1.09
168,AIG,Price/Book (mrq),0.74
169,AIG,Enterprise Value/Revenue 3,1.54
170,AIG,Enterprise Value/EBITDA 7,7.02
171,AIZ,Market Cap (intraday) 5,9.3B
172,AIZ,Enterprise Value 3,9.06B
173,AIZ,Trailing P/E,20.70
174,AIZ,Forward P/E 1,13.14
175,AIZ,PEG Ratio (5 yr expected) 1,1.04
176,AIZ,Price/Sales (ttm),0.91
177,AIZ,Price/Book (mrq),1.59
178,AIZ,Enterprise Value/Revenue 3,0.88
179,AIZ,Enterprise Value/EBITDA 7,8.44
180,AJG,Market Cap (intraday) 5,31.09B
181,AJG,Enterprise Value 3,34.62B
182,AJG,Trailing P/E,33.60
183,AJG,Forward P/E 1,25.97
184,AJG,PEG Ratio (5 yr expected) 1,2.19
185,AJG,Price/Sales (ttm),4.19
186,AJG,Price/Book (mrq),3.74
187,AJG,Enterprise Value/Revenue 3,4.66
188,AJG,Enterprise Value/EBITDA 7,18.95
189,AKAM,Market Cap (intraday) 5,16.77B
190,AKAM,Enterprise Value 3,18.22B
191,AKAM,Trailing P/E,29.35
192,AKAM,Forward P/E 1,16.89
193,AKAM,PEG Ratio (5 yr expected) 1,1.68
194,AKAM,Price/Sales (ttm),5.03
195,AKAM,Price/Book (mrq),3.75
196,AKAM,Enterprise Value/Revenue 3,5.46
197,AKAM,Enterprise Value/EBITDA 7,16.69
198,ALB,Market Cap (intraday) 5,25.54B
199,ALB,Enterprise Value 3,27.61B
200,ALB,Trailing P/E,34.53
201,ALB,Forward P/E 1,41.29
202,ALB,PEG Ratio (5 yr expected) 1,2.25
203,ALB,Price/Sales (ttm),7.91
204,ALB,Price/Book (mrq),4.14
205,ALB,Enterprise Value/Revenue 3,8.55
206,ALB,Enterprise Value/EBITDA 7,33.67
207,ALGN,Market Cap (intraday) 5,50.97B
208,ALGN,Enterprise Value 3,50.26B
209,ALGN,Trailing P/E,73.41
210,ALGN,Forward P/E 1,48.57
211,ALGN,PEG Ratio (5 yr expected) 1,2.10
212,ALGN,Price/Sales (ttm),14.67
213,ALGN,Price/Book (mrq),15.02
214,ALGN,Enterprise Value/Revenue 3,14.47
215,ALGN,Enterprise Value/EBITDA 7,51.00
216,ALK,Market Cap (intraday) 5,7.6B
217,ALK,Enterprise Value 3,8.44B
218,ALK,Trailing P/E,
219,ALK,Forward P/E 1,11.36
220,ALK,PEG Ratio (5 yr expected) 1,1.25
221,ALK,Price/Sales (ttm),1.98
222,ALK,Price/Book (mrq),2.27
223,ALK,Enterprise Value/Revenue 3,2.20
224,ALK,Enterprise Value/EBITDA 7,-7.21
225,ALL,Market Cap (intraday) 5,37.37B
226,ALL,Enterprise Value 3,41.86B
227,ALL,Trailing P/E,9.95
228,ALL,Forward P/E 1,9.84
229,ALL,PEG Ratio (5 yr expected) 1,-11.01
230,ALL,Price/Sales (ttm),0.75
231,ALL,Price/Book (mrq),1.44
232,ALL,Enterprise Value/Revenue 3,0.84
233,ALL,Enterprise Value/EBITDA 7,3.77
234,ALLE,Market Cap (intraday) 5,11.5B
235,ALLE,Enterprise Value 3,12.7B
236,ALLE,Trailing P/E,25.11
237,ALLE,Forward P/E 1,21.75
238,ALLE,PEG Ratio (5 yr expected) 1,2.82
239,ALLE,Price/Sales (ttm),3.97
240,ALLE,Price/Book (mrq),14.62
241,ALLE,Enterprise Value/Revenue 3,4.38
242,ALLE,Enterprise Value/EBITDA 7,18.12
243,AMAT,Market Cap (intraday) 5,114.57B
244,AMAT,Enterprise Value 3,114.85B
245,AMAT,Trailing P/E,22.06
246,AMAT,Forward P/E 1,15.84
247,AMAT,PEG Ratio (5 yr expected) 1,0.73
248,AMAT,Price/Sales (ttm),5.30
249,AMAT,Price/Book (mrq),9.50
250,AMAT,Enterprise Value/Revenue 3,5.31
251,AMAT,Enterprise Value/EBITDA 7,16.56
252,AMCR,Market Cap (intraday) 5,17.78B
253,AMCR,Enterprise Value 3,24.16B
254,AMCR,Trailing P/E,19.24
255,AMCR,Forward P/E 1,13.79
256,AMCR,PEG Ratio (5 yr expected) 1,2.90
257,AMCR,Price/Sales (ttm),1.38
258,AMCR,Price/Book (mrq),3.73
259,AMCR,Enterprise Value/Revenue 3,1.88
260,AMCR,Enterprise Value/EBITDA 7,12.07
261,AMD,Market Cap (intraday) 5,124.26B
262,AMD,Enterprise Value 3,120.36B
263,AMD,Trailing P/E,36.11
264,AMD,Forward P/E 1,33.59
265,AMD,PEG Ratio (5 yr expected) 1,1.35
266,AMD,Price/Sales (ttm),9.31
267,AMD,Price/Book (mrq),17.59
268,AMD,Enterprise Value/Revenue 3,9.02
269,AMD,Enterprise Value/EBITDA 7,41.49
270,AME,Market Cap (intraday) 5,28.51B
271,AME,Enterprise Value 3,31.75B
272,AME,Trailing P/E,32.70
273,AME,Forward P/E 1,23.62
274,AME,PEG Ratio (5 yr expected) 1,-24.18
275,AME,Price/Sales (ttm),5.78
276,AME,Price/Book (mrq),4.49
277,AME,Enterprise Value/Revenue 3,6.44
278,AME,Enterprise Value/EBITDA 7,22.26
279,AMGN,Market Cap (intraday) 5,119.39B
280,AMGN,Enterprise Value 3,145.01B
281,AMGN,Trailing P/E,21.32
282,AMGN,Forward P/E 1,11.76
283,AMGN,PEG Ratio (5 yr expected) 1,2.31
284,AMGN,Price/Sales (ttm),4.68
285,AMGN,Price/Book (mrq),14.52
286,AMGN,Enterprise Value/Revenue 3,5.69
287,AMGN,Enterprise Value/EBITDA 7,11.67
288,AMP,Market Cap (intraday) 5,30.54B
289,AMP,Enterprise Value 3,28.56B
290,AMP,Trailing P/E,31.01
291,AMP,Forward P/E 1,11.29
292,AMP,PEG Ratio (5 yr expected) 1,1.34
293,AMP,Price/Sales (ttm),2.35
294,AMP,Price/Book (mrq),5.40
295,AMP,Enterprise Value/Revenue 3,2.20
296,AMP,Enterprise Value/EBITDA 7,12.89
297,AMT,Market Cap (intraday) 5,119.48B
298,AMT,Enterprise Value 3,164.1B
299,AMT,Trailing P/E,52.75
300,AMT,Forward P/E 1,47.35
301,AMT,PEG Ratio (5 yr expected) 1,3.25
302,AMT,Price/Sales (ttm),13.90
303,AMT,Price/Book (mrq),20.71
304,AMT,Enterprise Value/Revenue 3,19.10
305,AMT,Enterprise Value/EBITDA 7,29.83
306,AMZN,Market Cap (intraday) 5,1.64T
307,AMZN,Enterprise Value 3,1.66T
308,AMZN,Trailing P/E,56.50
309,AMZN,Forward P/E 1,48.68
310,AMZN,PEG Ratio (5 yr expected) 1,1.83
311,AMZN,Price/Sales (ttm),3.70
312,AMZN,Price/Book (mrq),14.29
313,AMZN,Enterprise Value/Revenue 3,3.76
314,AMZN,Enterprise Value/EBITDA 7,28.06
315,ANET,Market Cap (intraday) 5,26.76B
316,ANET,Enterprise Value 3,23.86B
317,ANET,Trailing P/E,38.08
318,ANET,Forward P/E 1,29.29
319,ANET,PEG Ratio (5 yr expected) 1,2.72
320,ANET,Price/Sales (ttm),10.18
321,ANET,Price/Book (mrq),7.23
322,ANET,Enterprise Value/Revenue 3,9.08
323,ANET,Enterprise Value/EBITDA 7,27.88
324,ANSS,Market Cap (intraday) 5,29.59B
325,ANSS,Enterprise Value 3,29.71B
326,ANSS,Trailing P/E,65.07
327,ANSS,Forward P/E 1,43.26
328,ANSS,PEG Ratio (5 yr expected) 1,4.29
329,ANSS,Price/Sales (ttm),16.43
330,ANSS,Price/Book (mrq),6.96
331,ANSS,Enterprise Value/Revenue 3,16.50
332,ANSS,Enterprise Value/EBITDA 7,47.81
333,ANTM,Market Cap (intraday) 5,89.7B
334,ANTM,Enterprise Value 3,82.52B
335,ANTM,Trailing P/E,21.77
336,ANTM,Forward P/E 1,12.90
337,ANTM,PEG Ratio (5 yr expected) 1,1.10
338,ANTM,Price/Sales (ttm),0.69
339,ANTM,Price/Book (mrq),2.57
340,ANTM,Enterprise Value/Revenue 3,0.64
341,ANTM,Enterprise Value/EBITDA 7,9.90
342,AON,Market Cap (intraday) 5,65.02B
343,AON,Enterprise Value 3,73.21B
344,AON,Trailing P/E,31.69
345,AON,Forward P/E 1,22.24
346,AON,PEG Ratio (5 yr expected) 1,1.75
347,AON,Price/Sales (ttm),5.53
348,AON,Price/Book (mrq),14.56
349,AON,Enterprise Value/Revenue 3,6.22
350,AON,Enterprise Value/EBITDA 7,20.41
351,AOS,Market Cap (intraday) 5,9.66B
352,AOS,Enterprise Value 3,9.7B
353,AOS,Trailing P/E,23.29
354,AOS,Forward P/E 1,19.54
355,AOS,PEG Ratio (5 yr expected) 1,3.31
356,AOS,Price/Sales (ttm),3.00
357,AOS,Price/Book (mrq),5.53
358,AOS,Enterprise Value/Revenue 3,3.01
359,AOS,Enterprise Value/EBITDA 7,15.27
360,APA,Market Cap (intraday) 5,8.4B
361,APA,Enterprise Value 3,17.54B
362,APA,Trailing P/E,11.83
363,APA,Forward P/E 1,6.90
364,APA,PEG Ratio (5 yr expected) 1,-0.24
365,APA,Price/Sales (ttm),1.39
366,APA,Price/Book (mrq),
367,APA,Enterprise Value/Revenue 3,2.91
368,APA,Enterprise Value/EBITDA 7,5.45
369,APD,Market Cap (intraday) 5,56.21B
370,APD,Enterprise Value 3,59.18B
371,APD,Trailing P/E,28.59
372,APD,Forward P/E 1,23.82
373,APD,PEG Ratio (5 yr expected) 1,2.51
374,APD,Price/Sales (ttm),5.73
375,APD,Price/Book (mrq),4.30
376,APD,Enterprise Value/Revenue 3,6.04
377,APD,Enterprise Value/EBITDA 7,16.48
378,APH,Market Cap (intraday) 5,44.04B
379,APH,Enterprise Value 3,48.68B
380,APH,Trailing P/E,32.62
381,APH,Forward P/E 1,27.78
382,APH,PEG Ratio (5 yr expected) 1,2.43
383,APH,Price/Sales (ttm),4.50
384,APH,Price/Book (mrq),7.70
385,APH,Enterprise Value/Revenue 3,4.98
386,APH,Enterprise Value/EBITDA 7,21.08
387,APTV,Market Cap (intraday) 5,42.03B
388,APTV,Enterprise Value 3,44.49B
389,APTV,Trailing P/E,42.32
390,APTV,Forward P/E 1,30.11
391,APTV,PEG Ratio (5 yr expected) 1,0.91
392,APTV,Price/Sales (ttm),2.68
393,APTV,Price/Book (mrq),5.05
394,APTV,Enterprise Value/Revenue 3,2.83
395,APTV,Enterprise Value/EBITDA 7,19.00
396,ARE,Market Cap (intraday) 5,29.42B
397,ARE,Enterprise Value 3,40.15B
398,ARE,Trailing P/E,28.73
399,ARE,Forward P/E 1,58.27
400,ARE,PEG Ratio (5 yr expected) 1,551.60
401,ARE,Price/Sales (ttm),14.57
402,ARE,Price/Book (mrq),2.03
403,ARE,Enterprise Value/Revenue 3,19.88
404,ARE,Enterprise Value/EBITDA 7,31.72
405,ATO,Market Cap (intraday) 5,11.66B
406,ATO,Enterprise Value 3,18.49B
407,ATO,Trailing P/E,16.63
408,ATO,Forward P/E 1,16.32
409,ATO,PEG Ratio (5 yr expected) 1,2.47
410,ATO,Price/Sales (ttm),3.52
411,ATO,Price/Book (mrq),1.49
412,ATO,Enterprise Value/Revenue 3,5.58
413,ATO,Enterprise Value/EBITDA 7,13.51
414,ATVI,Market Cap (intraday) 5,60.3B
415,ATVI,Enterprise Value 3,57.12B
416,ATVI,Trailing P/E,26.22
417,ATVI,Forward P/E 1,17.64
418,ATVI,PEG Ratio (5 yr expected) 1,1.53
419,ATVI,Price/Sales (ttm),6.75
420,ATVI,Price/Book (mrq),3.93
421,ATVI,Enterprise Value/Revenue 3,6.39
422,ATVI,Enterprise Value/EBITDA 7,16.86
423,AVB,Market Cap (intraday) 5,30.95B
424,AVB,Enterprise Value 3,39.21B
425,AVB,Trailing P/E,38.75
426,AVB,Forward P/E 1,64.83
427,AVB,PEG Ratio (5 yr expected) 1,17.21
428,AVB,Price/Sales (ttm),13.83
429,AVB,Price/Book (mrq),2.90
430,AVB,Enterprise Value/Revenue 3,17.52
431,AVB,Enterprise Value/EBITDA 7,29.63
432,AVGO,Market Cap (intraday) 5,198.18B
433,AVGO,Enterprise Value 3,239.2B
434,AVGO,Trailing P/E,44.90
435,AVGO,Forward P/E 1,15.66
436,AVGO,PEG Ratio (5 yr expected) 1,1.19
437,AVGO,Price/Sales (ttm),7.48
438,AVGO,Price/Book (mrq),8.27
439,AVGO,Enterprise Value/Revenue 3,9.02
440,AVGO,Enterprise Value/EBITDA 7,17.18
441,AVY,Market Cap (intraday) 5,17.15B
442,AVY,Enterprise Value 3,19.19B
443,AVY,Trailing P/E,23.65
444,AVY,Forward P/E 1,21.68
445,AVY,PEG Ratio (5 yr expected) 1,2.57
446,AVY,Price/Sales (ttm),2.18
447,AVY,Price/Book (mrq),10.07
448,AVY,Enterprise Value/Revenue 3,2.44
449,AVY,Enterprise Value/EBITDA 7,15.37
450,AWK,Market Cap (intraday) 5,30.98B
451,AWK,Enterprise Value 3,42.15B
452,AWK,Trailing P/E,41.35
453,AWK,Forward P/E 1,37.03
454,AWK,PEG Ratio (5 yr expected) 1,5.11
455,AWK,Price/Sales (ttm),7.97
456,AWK,Price/Book (mrq),4.63
457,AWK,Enterprise Value/Revenue 3,10.84
458,AWK,Enterprise Value/EBITDA 7,21.73
459,AXP,Market Cap (intraday) 5,136.3B
460,AXP,Enterprise Value 3,149.05B
461,AXP,Trailing P/E,19.95
462,AXP,Forward P/E 1,18.27
463,AXP,PEG Ratio (5 yr expected) 1,0.45
464,AXP,Price/Sales (ttm),3.57
465,AXP,Price/Book (mrq),5.36
466,AXP,Enterprise Value/Revenue 3,3.91
467,AXP,Enterprise Value/EBITDA 7,
468,AZO,Market Cap (intraday) 5,36.08B
469,AZO,Enterprise Value 3,40.45B
470,AZO,Trailing P/E,18.39
471,AZO,Forward P/E 1,18.11
472,AZO,PEG Ratio (5 yr expected) 1,1.22
473,AZO,Price/Sales (ttm),2.53
474,AZO,Price/Book (mrq),
475,AZO,Enterprise Value/Revenue 3,2.84
476,AZO,Enterprise Value/EBITDA 7,11.98
477,BA,Market Cap (intraday) 5,130.06B
478,BA,Enterprise Value 3,173.96B
479,BA,Trailing P/E,
480,BA,Forward P/E 1,37.57
481,BA,PEG Ratio (5 yr expected) 1,-11.94
482,BA,Price/Sales (ttm),2.11
483,BA,Price/Book (mrq),
484,BA,Enterprise Value/Revenue 3,2.82
485,BA,Enterprise Value/EBITDA 7,-96.97
486,BAC,Market Cap (intraday) 5,369.25B
487,BAC,Enterprise Value 3,222.77B
488,BAC,Trailing P/E,14.65
489,BAC,Forward P/E 1,14.48
490,BAC,PEG Ratio (5 yr expected) 1,0.51
491,BAC,Price/Sales (ttm),4.26
492,BAC,Price/Book (mrq),1.47
493,BAC,Enterprise Value/Revenue 3,2.57
494,BAC,Enterprise Value/EBITDA 7,
495,BAX,Market Cap (intraday) 5,40.18B
496,BAX,Enterprise Value 3,43.86B
497,BAX,Trailing P/E,38.60
498,BAX,Forward P/E 1,20.13
499,BAX,PEG Ratio (5 yr expected) 1,1.99
500,BAX,Price/Sales (ttm),3.40
501,BAX,Price/Book (mrq),4.75
502,BAX,Enterprise Value/Revenue 3,3.71
503,BAX,Enterprise Value/EBITDA 7,16.35
504,BBWI,Market Cap (intraday) 5,16.3B
505,BBWI,Enterprise Value 3,23.74B
506,BBWI,Trailing P/E,9.49
507,BBWI,Forward P/E 1,16.14
508,BBWI,PEG Ratio (5 yr expected) 1,2.18
509,BBWI,Price/Sales (ttm),1.15
510,BBWI,Price/Book (mrq),
511,BBWI,Enterprise Value/Revenue 3,1.67
512,BBWI,Enterprise Value/EBITDA 7,6.65
513,BBY,Market Cap (intraday) 5,26.39B
514,BBY,Enterprise Value 3,27.45B
515,BBY,Trailing P/E,12.35
516,BBY,Forward P/E 1,11.43
517,BBY,PEG Ratio (5 yr expected) 1,1.30
518,BBY,Price/Sales (ttm),0.52
519,BBY,Price/Book (mrq),6.35
520,BBY,Enterprise Value/Revenue 3,0.55
521,BBY,Enterprise Value/EBITDA 7,6.97
522,BDX,Market Cap (intraday) 5,70.31B
523,BDX,Enterprise Value 3,84.36B
524,BDX,Trailing P/E,43.08
525,BDX,Forward P/E 1,19.51
526,BDX,PEG Ratio (5 yr expected) 1,1.96
527,BDX,Price/Sales (ttm),3.53
528,BDX,Price/Book (mrq),2.88
529,BDX,Enterprise Value/Revenue 3,4.24
530,BDX,Enterprise Value/EBITDA 7,14.30
531,BEN,Market Cap (intraday) 5,15.21B
532,BEN,Enterprise Value 3,16.97B
533,BEN,Trailing P/E,19.31
534,BEN,Forward P/E 1,8.60
535,BEN,PEG Ratio (5 yr expected) 1,0.92
536,BEN,Price/Sales (ttm),1.91
537,BEN,Price/Book (mrq),1.39
538,BEN,Enterprise Value/Revenue 3,2.13
539,BEN,Enterprise Value/EBITDA 7,7.72
540,BF-B,Market Cap (intraday) 5,31.38B
541,BF-B,Enterprise Value 3,33.33B
542,BF-B,Trailing P/E,41.27
543,BF-B,Forward P/E 1,34.43
544,BF-B,PEG Ratio (5 yr expected) 1,4.94
545,BF-B,Price/Sales (ttm),8.68
546,BF-B,Price/Book (mrq),11.86
547,BF-B,Enterprise Value/Revenue 3,9.22
548,BF-B,Enterprise Value/EBITDA 7,29.50
549,BIIB,Market Cap (intraday) 5,42.17B
550,BIIB,Enterprise Value 3,46.84B
551,BIIB,Trailing P/E,22.63
552,BIIB,Forward P/E 1,13.69
553,BIIB,PEG Ratio (5 yr expected) 1,-2.35
554,BIIB,Price/Sales (ttm),3.61
555,BIIB,Price/Book (mrq),3.92
556,BIIB,Enterprise Value/Revenue 3,4.00
557,BIIB,Enterprise Value/EBITDA 7,14.39
558,BIO,Market Cap (intraday) 5,21.54B
559,BIO,Enterprise Value 3,20.6B
560,BIO,Trailing P/E,5.34
561,BIO,Forward P/E 1,52.64
562,BIO,PEG Ratio (5 yr expected) 1,3.21
563,BIO,Price/Sales (ttm),7.48
564,BIO,Price/Book (mrq),1.84
565,BIO,Enterprise Value/Revenue 3,7.15
566,BIO,Enterprise Value/EBITDA 7,28.96
567,BK,Market Cap (intraday) 5,46.71B
568,BK,Enterprise Value 3,-76.8B
569,BK,Trailing P/E,14.00
570,BK,Forward P/E 1,12.08
571,BK,PEG Ratio (5 yr expected) 1,1.18
572,BK,Price/Sales (ttm),2.97
573,BK,Price/Book (mrq),1.15
574,BK,Enterprise Value/Revenue 3,-4.89
575,BK,Enterprise Value/EBITDA 7,
576,BKNG,Market Cap (intraday) 5,100.92B
577,BKNG,Enterprise Value 3,100.62B
578,BKNG,Trailing P/E,241.71
579,BKNG,Forward P/E 1,24.87
580,BKNG,PEG Ratio (5 yr expected) 1,0.27
581,BKNG,Price/Sales (ttm),14.06
582,BKNG,Price/Book (mrq),20.80
583,BKNG,Enterprise Value/Revenue 3,14.02
584,BKNG,Enterprise Value/EBITDA 7,102.78
585,BKR,Market Cap (intraday) 5,20.44B
586,BKR,Enterprise Value 3,26.82B
587,BKR,Trailing P/E,
588,BKR,Forward P/E 1,19.81
589,BKR,PEG Ratio (5 yr expected) 1,0.09
590,BKR,Price/Sales (ttm),1.00
591,BKR,Price/Book (mrq),1.46
592,BKR,Enterprise Value/Revenue 3,1.31
593,BKR,Enterprise Value/EBITDA 7,11.08
594,BLK,Market Cap (intraday) 5,125.61B
595,BLK,Enterprise Value 3,131.03B
596,BLK,Trailing P/E,23.20
597,BLK,Forward P/E 1,19.03
598,BLK,PEG Ratio (5 yr expected) 1,1.50
599,BLK,Price/Sales (ttm),6.95
600,BLK,Price/Book (mrq),3.49
601,BLK,Enterprise Value/Revenue 3,7.25
602,BLK,Enterprise Value/EBITDA 7,17.51
603,BLL,Market Cap (intraday) 5,29.82B
604,BLL,Enterprise Value 3,37.5B
605,BLL,Trailing P/E,35.02
606,BLL,Forward P/E 1,21.84
607,BLL,PEG Ratio (5 yr expected) 1,1.83
608,BLL,Price/Sales (ttm),2.33
609,BLL,Price/Book (mrq),8.20
610,BLL,Enterprise Value/Revenue 3,2.93
611,BLL,Enterprise Value/EBITDA 7,18.36
612,BMY,Market Cap (intraday) 5,130.55B
613,BMY,Enterprise Value 3,168.58B
614,BMY,Trailing P/E,
615,BMY,Forward P/E 1,7.26
616,BMY,PEG Ratio (5 yr expected) 1,1.20
617,BMY,Price/Sales (ttm),2.94
618,BMY,Price/Book (mrq),3.49
